"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tbkbp1",0.000794317860602424,0.592358582492898,0.434,0.305,1,"4","Tbkbp1"
"Tspoap1",0.000795074019417873,0.371241189998512,0.79,0.686,1,"4","Tspoap1"
"Kcnj6",0.000827402250745873,0.494835135061655,0.58,0.447,1,"4","Kcnj6"
"Sez6l2",0.000828231471768234,0.257659535657144,0.839,0.667,1,"4","Sez6l"
"Tub1",0.000918683964826647,0.636606111861493,0.413,0.298,1,"4","Tub"
"Cgn",0.000929305071201011,0.665633335197495,0.343,0.224,1,"4","Cgn"
"Spns2",0.000929899315335452,0.781409649755621,0.336,0.219,1,"4","Spns2"
"Cep89",0.000969495255999136,0.565089470971321,0.364,0.234,1,"4","Cep89"
"Begain",0.000974948000010355,0.530730738774514,0.503,0.367,1,"4","Begain"
"Synrg",0.000999907779210856,0.523965450687217,0.462,0.327,1,"4","Synrg"
"Pld3",0.00101281581066805,0.474334682962616,0.51,0.359,1,"4","Pld3"
"Kif26b",0.00103489367862018,0.473966225537324,0.517,0.385,1,"4","Kif26b"
"Gng2",0.00105200992817406,0.519080379035588,0.51,0.37,1,"4","Gng2"
"Commd101",0.00105760747884012,0.655357393288259,0.392,0.271,1,"4","Commd10"
"Rnf1691",0.00108904994114556,0.405544957766547,0.524,0.383,1,"4","Rnf169"
"Neto22",0.00110545650122476,0.629038947466159,0.42,0.289,1,"4","Neto2"
"Stx16",0.00111807205369807,0.531326155638471,0.538,0.417,1,"4","Stx16"
"Prkag2",0.0011207090052693,0.423340152467356,0.58,0.432,1,"4","Prkag2"
"Fxyd6",0.001159295169527,0.5389066842587,0.287,0.169,1,"4","Fxyd6"
"Bcl9",0.00116292152049279,0.573438347215231,0.469,0.336,1,"4","Bcl9"
"Tafa5",0.00117101149305709,0.320824858267411,0.811,0.722,1,"4","Tafa5"
"Tmeff21",0.00117321283809439,0.16816815062114,0.811,0.678,1,"4","Tmeff2"
"Poglut1",0.00117405744503477,0.669794776512066,0.322,0.204,1,"4","Poglut1"
"Kcnj3",0.00118432707352176,0.46698335474617,0.476,0.343,1,"4","Kcnj3"
"Zswim6",0.00120904548626695,0.629121087567007,0.364,0.24,1,"4","Zswim6"
"Ss18l1",0.00122205874946337,0.726721844596901,0.294,0.181,1,"4","Ss18l1"
"Npas31",0.00122513891318942,0.353498549704034,0.531,0.393,1,"4","Npas3"
"Plch2",0.00125892107955836,0.726721844596901,0.252,0.148,1,"4","Plch2"
"Chl11",0.00130443081995036,0.345994267291933,0.657,0.529,1,"4","Chl1"
"Rora1",0.00132638276385084,0.301929062964215,0.951,0.908,1,"4","Rora"
"Fgfr2",0.00133460817830174,0.501301730562886,0.476,0.348,1,"4","Fgfr2"
"Eif4b",0.00135363894778945,0.620012138158251,0.329,0.21,1,"4","Eif4b"
"Hspa4",0.00136203921149162,0.663083558696583,0.427,0.308,1,"4","Hspa4"
"U2af1",0.00138613474433138,0.74451115804043,0.357,0.239,1,"4","U2af1"
"Cdh20",0.0014104613481304,0.708799936599639,0.28,0.172,1,"4","Cdh20"
"Efcab11",0.00146036060363276,0.56712028642335,0.399,0.273,1,"4","Efcab1"
"March1",0.00146663471755521,0.236745719085806,0.916,0.849,1,"4","March1"
"Slc1a21",0.00147312853866463,0.657435073152661,0.301,0.187,1,"4","Slc1a2"
"Spock3",0.00159181836961723,0.429169888663629,0.79,0.729,1,"4","Spock3"
"Neurl1a1",0.00160731155613908,0.67770616749807,0.378,0.262,1,"4","Neurl1a"
"Hecw11",0.00161658496978908,0.272134032658996,0.902,0.83,1,"4","Hecw1"
"Mtss2",0.00162908775670718,0.688653803763382,0.308,0.198,1,"4","Mtss2"
"Tmem1641",0.00170939207893472,0.542380070385715,0.392,0.264,1,"4","Tmem164"
"Nol4",0.00172327837034619,0.443630517362791,0.678,0.575,1,"4","Nol4"
"Frmd4b1",0.0017467857679495,0.572523930806014,0.385,0.254,1,"4","Frmd4b"
"Slc24a3",0.00179420361834696,0.26733431204315,0.818,0.687,1,"4","Slc24a3"
"Ehmt2",0.00180421077623635,0.606869438491655,0.531,0.433,1,"4","Ehmt2"
"Rrp1",0.00186060026147738,0.656643408860761,0.371,0.26,1,"4","Rrp1"
"9630014M24Rik",0.0018679598496835,0.425231497101857,0.559,0.416,1,"4","9630014M24Rik"
"Gm44257",0.00186969742166921,0.669526443015358,0.273,0.166,1,"4","Gm44257"
"Tars2",0.00188419506331209,0.722014841919373,0.301,0.191,1,"4","Tars2"
"Epha4",0.00188969043817254,0.53868092805123,0.378,0.251,1,"4","Epha4"
"Brinp11",0.00192393735458453,0.354051878840909,0.615,0.48,1,"4","Brinp1"
"Jag2",0.00195928191124049,0.802212044181165,0.385,0.275,1,"4","Jag2"
"Scap",0.00196283744456077,0.446688435154519,0.399,0.265,1,"4","Scap"
"Grid2",0.00196654667094664,0.191070351709832,0.993,0.978,1,"4","Grid2"
"Tmem1171",0.00197581843276836,0.454327135327556,0.51,0.377,1,"4","Tmem117"
"Vwc21",0.00201667438527604,0.55858834349766,0.315,0.201,1,"4","Vwc2"
"Abhd16a",0.00211670622228325,0.712876296479318,0.315,0.211,1,"4","Abhd16a"
"Taf1b",0.00213474056554011,0.50102680058761,0.462,0.345,1,"4","Taf1b"
"Ddx6",0.0021917999981371,0.475922679865808,0.503,0.364,1,"4","Ddx6"
"Chuk",0.00219657194279815,0.514379401858018,0.462,0.331,1,"4","Chuk"
"Adcyap1r1",0.00221843984368913,0.706995439752891,0.413,0.301,1,"4","Adcyap1r1"
"Coq3",0.00227209072902324,0.741776190319191,0.273,0.172,1,"4","Coq3"
"Xrn1",0.00231561383687288,0.291369659675351,0.797,0.681,1,"4","Xrn1"
"Mest",0.00235743950844701,0.506756160654993,0.399,0.269,1,"4","Mest"
"Ccser11",0.00241958733087581,0.270834374798454,0.993,0.957,1,"4","Ccser1"
"Lrp1",0.00254681963910094,0.355651662717592,0.727,0.629,1,"4","Lrp1"
"Wdr6",0.00254821774510311,0.629309342938957,0.385,0.274,1,"4","Wdr6"
"Wdr35",0.00255830362362293,0.510676530026336,0.371,0.251,1,"4","Wdr35"
"Phka1",0.00268479712713755,0.477557143629819,0.427,0.298,1,"4","Phka1"
"Snca",0.00270752807082201,0.802957430423987,0.266,0.172,1,"4","Snca"
"Clock",0.00275423066139471,0.454435125524911,0.538,0.427,1,"4","Clock"
"Arrb2",0.00277680284846654,0.618904110128034,0.273,0.17,1,"4","Arrb2"
"Scn9a1",0.00283501274338256,0.396095644189621,0.629,0.506,1,"4","Scn9a"
"Rgs71",0.00284960511556371,0.380560288911567,0.853,0.81,1,"4","Rgs7"
"Xpo1",0.00296168869632462,0.47475547778575,0.531,0.415,1,"4","Xpo1"
"Nectin1",0.00300464476186899,0.729989558430812,0.266,0.169,1,"4","Nectin1"
"Farsa",0.0030134330290092,0.786278689277356,0.266,0.17,1,"4","Farsa"
"Pabpn11",0.00302067336987509,0.282614350286731,0.979,0.929,1,"4","Pabpn1"
"Gm32014",0.00305521036300249,0.712876296479318,0.266,0.166,1,"4","Gm32014"
"Cdkl3",0.00308323864386873,0.489285024428588,0.434,0.314,1,"4","Cdkl3"
"Gpr1581",0.00309726853082745,0.217866387354914,1,0.963,1,"4","Gpr158"
"Usf3",0.00315861943183462,0.589054182381474,0.287,0.181,1,"4","Usf3"
"Thbs31",0.00316995357532444,0.845172378330925,0.252,0.16,1,"4","Thbs3"
"Hacd1",0.00318977807898249,0.503778460855098,0.545,0.441,1,"4","Hacd1"
"Synpr1",0.00321031798273894,0.313614372416457,0.294,0.186,1,"4","Synpr"
