"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Group"
"GO:0021953","central nervous system neuron differentiation","23/440","298/25730",0.0771812080536913,4.51334655277608,8.04641155403529,2.25327036088145e-09,1.73501817787871e-07,1.24978963336339e-07,"210801/20745/14804/14400/19883/14682/13046/243743/14083/13131/18472/11820/13176/19211/209012/19156/18186/94229/215378/270190/12552/19876/15572",23,"ADP_C_vs_ADP_N"
"GO:0006887","exocytosis","27/440","410/25730",0.0658536585365854,3.85094235033259,7.67559215239187,2.93275013459898e-09,2.17457991461746e-07,1.56642014986378e-07,"192167/17967/116837/18189/50873/19055/109934/20614/331461/76707/110862/12298/20965/229521/12288/16510/231760/78808/76499/27062/238988/327814/116838/207227/94090/107767/20336",27,"ADP_C_vs_ADP_N"
"GO:0035176","social behavior","12/440","73/25730",0.164383561643836,9.61270236612702,9.71988908909869,3.86060380723278e-09,2.7352362412769e-07,1.97027901075207e-07,"20238/18191/14402/13508/18189/14803/320840/19211/209012/14042/215378/17257",12,"ADP_C_vs_ADP_N"
"GO:0006874","intracellular calcium ion homeostasis","24/440","333/25730",0.0720720720720721,4.21457821457821,7.78786261313555,3.9159477247304e-09,2.7352362412769e-07,1.97027901075207e-07,"238161/238871/18795/20541/109676/11931/20320/12298/14812/11820/12288/240174/16510/26383/231760/94249/12296/20866/238988/65945/14806/15560/22063/108058",24,"ADP_C_vs_ADP_N"
"GO:0051703","biological process involved in intraspecies interaction between organisms","12/440","76/25730",0.157894736842105,9.23325358851675,9.48121773277892,6.2195496331058e-09,4.1505127884926e-07,2.98974842012454e-07,"20238/18191/14402/13508/18189/14803/320840/19211/209012/14042/215378/17257",12,"ADP_C_vs_ADP_N"
"GO:0048167","regulation of synaptic plasticity","26/440","398/25730",0.0653266331658292,3.82012334399269,7.47890948167192,6.82913828762994e-09,4.48260159076562e-07,3.22896271063089e-07,"192167/14804/14169/116837/14803/74053/320127/20614/20320/110862/14812/11820/208922/58178/19211/14806/56637/72555/94229/12325/70546/26413/240028/19122/108058/17257",26,"ADP_C_vs_ADP_N"
"GO:0001508","action potential","18/440","194/25730",0.0927835051546392,5.42572633552015,8.16154469021556,7.37779411769334e-09,4.76462703987809e-07,3.43211475084546e-07,"238161/14682/13483/14167/15165/108655/16508/109676/16531/110862/12298/14812/12288/12296/14806/13383/108058/17257",18,"ADP_C_vs_ADP_N"
"GO:0090075","relaxation of muscle","9/440","37/25730",0.243243243243243,14.2242014742015,10.6175982357948,9.38241496105705e-09,5.95471113185548e-07,4.28937076115569e-07,"238161/238871/20541/11931/16531/19091/18578/12325/108058",9,"ADP_C_vs_ADP_N"
"GO:1903539","protein localization to postsynaptic membrane","12/440","83/25730",0.144578313253012,8.45454545454546,8.97233136607443,1.74313203929945e-08,1.04171652020224e-06,7.50382056194893e-07,"23859/18191/81907/74053/65945/56637/74513/70546/56839/26414/13383/20336",12,"ADP_C_vs_ADP_N"
"GO:0055074","calcium ion homeostasis","24/440","363/25730",0.0661157024793388,3.86626596543952,7.25435195129595,2.08306208415228e-08,1.20877979491967e-06,8.7072312899729e-07,"238161/238871/18795/20541/109676/11931/20320/12298/14812/11820/12288/240174/16510/26383/231760/94249/12296/20866/238988/65945/14806/15560/22063/108058",24,"ADP_C_vs_ADP_N"
"GO:0051656","establishment of organelle localization","25/440","412/25730",0.0606796116504854,3.54837819947043,6.87798411534929,5.66383657832501e-08,2.98394758679123e-06,2.14943382612334e-06,"192167/116837/50873/319613/244329/20614/76707/14083/229521/93742/18472/13426/12934/76499/27062/68166/327814/94090/17756/54418/13383/67299/20336/17257/12540",25,"ADP_C_vs_ADP_N"
"GO:0099560","synaptic membrane adhesion","9/440","45/25730",0.2,11.6954545454545,9.47172532529601,5.92119329567466e-08,3.07902051375082e-06,2.21791792619939e-06,"54725/192167/239857/13640/18189/331461/238205/320772/219228",9,"ADP_C_vs_ADP_N"
"GO:0031503","protein-containing complex localization","14/440","132/25730",0.106060606060606,6.2021349862259,7.90367261167298,6.51249244425624e-08,3.31714632639798e-06,2.38944764034136e-06,"23859/238161/18191/81907/74053/241694/65945/56637/74513/70546/56839/26414/13383/20336",14,"ADP_C_vs_ADP_N"
"GO:0030307","positive regulation of cell growth","17/440","199/25730",0.085427135678392,4.99554591137506,7.46332111389601,6.54481917546056e-08,3.31714632639798e-06,2.38944764034136e-06,"238161/13640/116837/13508/50873/52822/14083/18472/21676/330914/116838/227743/56637/18186/56839/17257/12540",17,"ADP_C_vs_ADP_N"
"GO:1905475","regulation of protein localization to membrane","17/440","200/25730",0.085,4.97056818181818,7.43542205874294,7.04208727975033e-08,3.48105153927411e-06,2.50751385919635e-06,"81907/74053/50873/234214/13483/12558/269109/76499/223254/56637/74513/12325/70546/13383/19122/108058/20336",17,"ADP_C_vs_ADP_N"
"GO:0071805","potassium ion transmembrane transport","17/440","207/25730",0.0821256038647343,4.80248133509003,7.24519002450653,1.16099091529442e-07,5.60073207811909e-06,4.03438821548091e-06,"238161/13483/20614/15165/16508/109676/11931/16531/110862/269109/16510/94249/331004/13383/19122/107723/16519",17,"ADP_C_vs_ADP_N"
