"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig","log10_p"
"Chka",0.000266660493062554,-0.681789661033428,0.205,0.369,1,"Not significant",0
"Socs7",0.00026701281844977,-0.908985614041319,0.122,0.266,1,"Not significant",0
"Arhgef11",0.000268475480123714,-0.813267357147079,0.173,0.321,1,"Not significant",0
"Ppp3cc",0.00026864976254605,-1.26567912708936,0.071,0.196,1,"Not significant",0
"Klhdc2",0.000268840837805812,-1.82464641927757,0.045,0.156,1,"Not significant",0
"Ano3",0.00027007085532667,-1.96787930309489,0.064,0.182,1,"Not significant",0
"Zkscan2",0.000272539068616218,-0.914737632106136,0.154,0.301,1,"Not significant",0
"Sod1",0.000272790150898388,-2.56452360886368,0.013,0.105,1,"Not significant",0
"Creb1",0.000273556548646726,-2.56452360886368,0.013,0.105,1,"Not significant",0
"Scarb1",0.000275158855242243,-1.18397448597013,0.077,0.206,1,"Not significant",0
"Vamp4",0.000275367872123828,-1.76297430848728,0.038,0.147,1,"Not significant",0
"Acer3",0.000275953683665565,-1.27708389036161,0.077,0.202,1,"Not significant",0
"Ston2",0.000277710639115337,-2.2827526404483,0.019,0.116,1,"Not significant",0
"Mrpl33",0.000277977584526587,-1.78025229991912,0.032,0.138,1,"Not significant",0
"Ift74",0.0002788649948102,-1.73444861030599,0.045,0.156,1,"Not significant",0
"Meg3",0.000279052673706525,-0.172132078210708,1,1,1,"Not significant",0
"Tpd52",0.000280056689477314,-2.23968391855641,0.019,0.116,1,"Not significant",0
"Wbp1l",0.000280056689477314,-2.23968391855641,0.019,0.116,1,"Not significant",0
"Rap1a",0.000281223539517272,-2.21765761222641,0.019,0.116,1,"Not significant",0
"Agpat4",0.000281658958657529,-0.905783182002975,0.09,0.226,1,"Not significant",0
"Slc22a15",0.000282011556824543,-1.45010369822678,0.045,0.158,1,"Not significant",0
"Bcas3",0.00028292939684926,-0.612027587466643,0.205,0.387,1,"Not significant",0
"Dok6",0.000284217348536391,-0.606077825475446,0.301,0.495,1,"Not significant",0
"Fgf13",0.000286056071092949,-1.38291680237373,0.16,0.299,1,"Not significant",0
"Rnf165",0.000286107197972157,-0.904241017194569,0.122,0.266,1,"Not significant",0
"Tbkbp1",0.00028708162827973,1.11081332852772,0.385,0.27,1,"Not significant",0
"Zbtb7c",0.000288020975058809,-0.819780664105753,0.141,0.295,1,"Not significant",0
"Ryk",0.000288575304629649,-1.33577102274779,0.045,0.16,1,"Not significant",0
"Pitpnm1",0.000289536236130902,0.913234657580209,0.474,0.369,1,"Not significant",0
"Mia2",0.00029153701601523,-1.35283107618444,0.064,0.185,1,"Not significant",0
"Ldah",0.000292007778106893,-1.16929459066501,0.058,0.18,1,"Not significant",0
"Cemip2",0.000292612780971688,-2.00264472125556,0.032,0.136,1,"Not significant",0
"Slc6a1",0.000292808443752892,-0.85601980753708,0.154,0.306,1,"Not significant",0
"Gbf1",0.000292885971510728,-0.542455185584345,0.282,0.47,1,"Not significant",0
"Epg5",0.000293501650835439,-1.41768222053441,0.058,0.176,1,"Not significant",0
