"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Iffo1",0.402029336873584,0.0382593331863519,0.185,0.173,1
"Pmm1",0.402098947227807,0.0902956337273166,0.107,0.099,1
"Slc25a19",0.402120195924188,-0.115171464522556,0.096,0.104,1
"Dync1li1",0.40212430407495,-0.0546520531825985,0.356,0.365,1
"Gm34933",0.402340293956405,0.646622266487586,0.002,0.001,1
"Gm50214",0.402340293956405,0.646622266487586,0.002,0.001,1
"Lysmd4",0.402458032172587,0.157820712536687,0.108,0.1,1
"Actn2",0.402606539532646,-0.13634849694306,0.089,0.097,1
"Ift46",0.402629202455539,0.0686461960825357,0.166,0.156,1
"Tsen54",0.40286962361872,-0.194948370907932,0.049,0.055,1
"Nat8l",0.4028851941735,0.0968048520473883,0.141,0.132,1
"1700093J21Rik",0.402926388021992,0.23674647232452,0.036,0.031,1
"Gm5535",0.402956391638926,-0.336304220153474,0.011,0.014,1
"Agtpbp1",0.403090549923399,0.0374712008117483,0.374,0.36,1
"Lhfpl4",0.403201552146033,0.0634894363235112,0.283,0.272,1
"Pnmal1",0.403246691415469,0.0945480595252928,0.162,0.153,1
"Gm13031",0.403538869642003,-0.301538801992797,0.011,0.014,1
"Gm960",0.40357809903244,-0.155539986349697,0.098,0.105,1
"Gripap1",0.403584913026854,-0.101099075460608,0.58,0.577,1
"Srl",0.403670620113533,0.29047845626231,0.025,0.021,1
"Apool",0.403670620113533,0.29047845626231,0.025,0.021,1
"Zbbx",0.404207283516618,0.0596982494331426,0.135,0.126,1
"Ccdc9",0.404386760018597,-0.198906384476615,0.081,0.088,1
"Plekhm1",0.404431359892344,0.124201231835142,0.106,0.098,1
"Gin1",0.404477494282772,0.011194698783441,0.126,0.117,1
"Ino80e",0.404499834160736,-0.159457251001124,0.061,0.068,1
"Snapc2",0.404661538474078,-0.209786879883565,0.024,0.029,1
"Pja1",0.404696303506115,0.0394338475314573,0.094,0.086,1
"Skiv2l",0.404770679859595,-0.163326032218186,0.222,0.23,1
"Sgcb",0.404963482233055,0.0652263807866214,0.128,0.119,1
"Pkp2",0.405017415386849,0.134188004414161,0.108,0.101,1
"Cdon",0.405107827257762,0.0321928568257603,0.186,0.175,1
"Rpl23",0.405224095418677,0.140210414188007,0.093,0.085,1
"Cdip1",0.405241308066731,-0.016998482327512,0.319,0.302,1
"Plppr1",0.405381565243971,0.0195134067418532,0.385,0.367,1
"Lsg1",0.405518598424268,0.0146622862292594,0.177,0.166,1
"Pef1",0.405573226362736,-0.112137484190614,0.071,0.079,1
"Rerg",0.405576078173722,-0.10287949670284,0.262,0.271,1
"Myo7a",0.405606244269282,-0.144512303111688,0.059,0.065,1
"Atp5g1",0.405722385794116,0.0886590275265293,0.102,0.094,1
"Zfp277",0.405756003448792,0.102074034212337,0.108,0.1,1
"Crebbp",0.405925897965662,-0.0314496386250525,0.685,0.691,1
"Gdap1l1",0.406084311245431,-0.150163413859832,0.163,0.171,1
"Exph5",0.406099423400847,-0.385086593239754,0.005,0.008,1
"Gm34471",0.406123821364585,0.215465101845464,0.049,0.044,1
"Cisd3",0.406326221523788,-0.201374640067365,0.04,0.045,1
"4933406C10Rik",0.406350577301893,0.184279052430385,0.09,0.083,1
"Gm37245",0.40644020954028,0.206241919094278,0.049,0.043,1
"Gm34907",0.406513728289054,0.206710098569712,0.055,0.049,1
"Pkia",0.406570378980549,0.00168548389257078,0.446,0.427,1
"Pcdhga1",0.40661944912387,0.412157012850562,0.011,0.008,1
"Rfwd3",0.406663958051721,0.109412897214797,0.125,0.117,1
"Top1mt",0.406844375745264,0.117693800680757,0.072,0.065,1
"Tmem115",0.406887818869693,0.254854546531588,0.032,0.028,1
"Fam228b",0.406902473937175,-0.169989581270774,0.154,0.162,1
"Nfib",0.406914260693114,0.0474808305966672,0.127,0.119,1
"Psip1",0.407027499332322,-0.103322873837866,0.448,0.455,1
"Mfsd1",0.407131501643792,-0.167226417655519,0.049,0.055,1
"Crebzf",0.40726112445537,-0.124980329350639,0.327,0.333,1
"Tpcn2",0.407316737146435,0.207738025254374,0.079,0.072,1
"Zdhhc1",0.407330861708602,-0.00373300160435897,0.513,0.484,1
"Atp5k",0.407459967967053,0.11648379051095,0.077,0.07,1
"Sfxn5",0.407480915048813,0.0196064692359843,0.339,0.321,1
"Cpa2",0.407570640376482,-0.262775184731508,0.015,0.018,1
"Gm49041",0.407570640376482,-0.262775184731508,0.015,0.018,1
"Tekt2",0.407630449287726,0.185361750448095,0.028,0.024,1
"Tnk2",0.407784511897767,0.0445369612374362,0.451,0.434,1
"Dock10",0.407802692924674,-0.0927859821881956,0.625,0.624,1
"Dnah7c",0.407825572084964,-0.170561518217026,0.088,0.096,1
"Hcn1",0.408210090335126,-0.090812420526483,0.44,0.442,1
"Rnf31",0.40822647396938,0.17926097766376,0.162,0.154,1
"Stx12",0.408481980247009,0.126172527321158,0.193,0.184,1
"Eif1a",0.408591650810567,0.201384529433042,0.065,0.059,1
"Nin",0.408763277004029,0.0427993763711373,0.396,0.383,1
"Rpa2",0.408769365813018,0.302969400445506,0.019,0.015,1
"Itga7",0.408769365813018,0.302969400445506,0.019,0.015,1
"Gm50107",0.408769365813018,0.302969400445506,0.019,0.015,1
"Camkk1",0.408778191231083,0.0266533159385154,0.16,0.149,1
"S100pbp",0.408829384736295,0.13030143137156,0.214,0.205,1
