"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig"
"Tmem179",3.76305337886185e-14,-0.793947764936217,0.097,0.203,6.63953138166384e-10,"Down"
"Rpl15",3.76726626699284e-14,-1.74965449432743,0.027,0.096,6.64696460148216e-10,"Down"
"Gm39469",3.81613002957783e-14,-1.93293209704015,0.024,0.09,6.73317982418712e-10,"Down"
"Tcaim",3.93507093374107e-14,-1.09323332623048,0.059,0.148,6.94303915549274e-10,"Down"
"Dph6",3.93748690558572e-14,-0.904425669351152,0.076,0.173,6.94730189621544e-10,"Down"
"Arhgef3",3.99154033549099e-14,-1.78440957233006,0.029,0.099,7.04267376794031e-10,"Down"
"Slc49a4",4.0194777158167e-14,-1.4199759468853,0.05,0.133,7.09196648178699e-10,"Down"
"Clstn1",4.02489002571431e-14,-0.438890983860056,0.247,0.402,7.10151596137033e-10,"Down"
"Tor1aip2",4.05399108904399e-14,-1.2161524513877,0.057,0.144,7.15286187750922e-10,"Down"
"Higd2a",4.08203010091623e-14,-3.36522758573993,0.004,0.053,7.20233391005659e-10,"Down"
"Ttc17",4.12666420936051e-14,-0.376444438541572,0.279,0.445,7.28108633099569e-10,"Down"
"Gm50304",4.13868498290963e-14,-1.90727590743507,0.023,0.089,7.30229578384576e-10,"Down"
"Fbxl4",4.1805921544933e-14,-1.18074576593517,0.05,0.134,7.37623679738797e-10,"Down"
"Rab10",4.26016538554275e-14,-0.753043616283749,0.125,0.239,7.51663580625162e-10,"Down"
"Bmpr2",4.27527730563898e-14,-0.710736913388179,0.15,0.272,7.54329927806941e-10,"Down"
"Scg2",4.28732169702482e-14,-0.576160891701313,0.218,0.355,7.56455040223060e-10,"Down"
"Plpp1",4.30408034573099e-14,-1.66754355137333,0.032,0.105,7.59411936200776e-10,"Down"
"Fads1",4.30909651226245e-14,-1.56512536928929,0.038,0.115,7.60296988623586e-10,"Down"
"Ide",4.32080012159552e-14,-0.412768717444999,0.279,0.437,7.62361973454314e-10,"Down"
"Ttc37",4.34533505249278e-14,-0.668146138938323,0.138,0.26,7.66690916661826e-10,"Down"
"Gm9801",4.37488236736371e-14,-0.45271617090872,0.221,0.371,7.71904244897653e-10,"Down"
"Pls3",4.39498395708526e-14,-1.24292606563322,0.043,0.123,7.75450969388123e-10,"Down"
"Polr3a",4.4951639596421e-14,-1.07316025812662,0.073,0.167,7.93126729039251e-10,"Down"
"Chst10",4.57947924944621e-14,-1.13673496486706,0.061,0.15,8.08003318772289e-10,"Down"
"Aatk",4.58470164384684e-14,-0.47541282364635,0.221,0.371,8.08924758040337e-10,"Down"
"Rab43",4.79405772787196e-14,-1.61726299262447,0.032,0.104,8.45863545505729e-10,"Down"
"Sptlc2",4.9858785375178e-14,-0.996181066096658,0.078,0.175,8.79708409159641e-10,"Down"
"Grip1",5.01930386438047e-14,-0.483942409006612,0.77,0.813,8.8560597383129e-10,"Down"
"Fbxl12",5.12063029074679e-14,-0.651753559060817,0.134,0.254,9.03484008499363e-10,"Down"
"Ino80d",5.14594469685668e-14,-0.73056571742831,0.111,0.221,9.07950482313392e-10,"Down"
"Ctps2",5.16902899117859e-14,-0.844689303503623,0.107,0.215,9.1202347520355e-10,"Down"
"Heatr6",5.18554330440764e-14,-0.606716183180186,0.161,0.288,9.14937260629684e-10,"Down"
"Pik3r3",5.247302688747e-14,-0.720134378738637,0.125,0.24,9.25834086402521e-10,"Down"
