"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pcdh11x1",0.00229278962526451,0.282389137348814,0.475,0.381,1,"5","Pcdh11x"
"Lcorl1",0.00238668135028997,0.681144490715376,0.311,0.236,1,"5","Lcorl"
"Cul11",0.00238789785445144,0.422419530187286,0.393,0.304,1,"5","Cul1"
"Dst1",0.00245756601975954,0.186874946565061,0.971,0.961,1,"5","Dst"
"Stk31",0.00245812786395436,0.344464463331558,0.328,0.236,1,"5","Stk3"
"Fndc3b1",0.00269165309883057,0.591648773262442,0.316,0.237,1,"5","Fndc3b"
"Srek1",0.00269772941204225,0.270217736740143,0.721,0.654,1,"5","Srek1"
"March11",0.00280378962604153,0.171716971009781,0.824,0.737,1,"5","March1"
"Dapk1",0.00280814137728781,0.420022697679679,0.471,0.383,1,"5","Dapk1"
"Fam168a",0.00289296101435684,0.352203460212149,0.607,0.53,1,"5","Fam168a"
"Ldlrad41",0.00313793897968192,0.644252857301129,0.344,0.27,1,"5","Ldlrad4"
"Gm26691",0.00322730061058045,0.433120311826277,0.451,0.366,1,"5","Gm26691"
"Pafah1b1",0.00325485815667661,0.366336983595982,0.57,0.492,1,"5","Pafah1b1"
"Cacng4",0.00327132251395081,0.50529641373624,0.361,0.285,1,"5","Cacng4"
"Arid4a",0.0034016780058302,0.364393828825977,0.508,0.414,1,"5","Arid4a"
"Lncpint1",0.00354987945653053,0.283390993728288,0.697,0.621,1,"5","Lncpint"
"Zwint",0.00358198683562465,0.309712322924351,0.414,0.311,1,"5","Zwint"
"Cdk7",0.00359027033521312,0.637823406022149,0.25,0.177,1,"5","Cdk7"
"Usp9x",0.00373131501754972,0.375897843276164,0.525,0.44,1,"5","Usp9x"
"Gabrb12",0.00409544703080702,0.22340200765215,0.857,0.827,1,"5","Gabrb1"
"Smim14",0.00418888184018326,0.377676062690283,0.463,0.375,1,"5","Smim14"
"Gstz11",0.00431457530125532,0.569268142276058,0.287,0.212,1,"5","Gstz1"
"Pex5l",0.00447518032963691,0.344073844446381,0.484,0.397,1,"5","Pex5l"
"Mdm42",0.00452336370181191,0.366594007347449,0.406,0.317,1,"5","Mdm4"
